回号,抽せん日,当選番号,ストレート,ボックス,セット（ストレート）,セット（ボックス）,ミニ,販売実績額
0288,1997/09/02,144,374,603.0,364.0,968.0,1831,227069600.0
0289,1997/09/05,838,218,509.0,255.0,869.0,1080,220330600.0
0290,1997/09/09,167,234,1137.0,289.0,1891.0,872,223891600.0
0291,1997/09/12,085,185,1128.0,284.0,1827.0,625,218720000.0
0292,1997/09/16,737,180,320.0,214.0,525.0,885,200556200.0
0293,1997/09/19,663,289,603.0,420.0,918.0,1115,221323400.0
0294,1997/09/23,107,381,1177.0,517.0,1550.0,702,209448200.0
0295,1997/09/26,075,272,1075.0,325.0,1848.0,663,218317600.0
0296,1997/09/30,880,398,510.0,337.0,636.0,560,237865600.0
0297,1997/10/03,144,297,613.0,306.0,998.0,937,232276200.0
0298,1997/10/06,104,955,2032.0,1067.0,1812.0,656,203033800.0
0299,1997/10/08,155,252,576.0,240.0,864.0,1060,192981000.0
0300,1997/10/10,126,462,1579.0,574.0,1790.0,1126,190918200.0
0301,1997/10/13,330,536,745.0,547.0,893.0,652,203129800.0
0302,1997/10/15,001,317,395.0,291.0,526.0,906,188253200.0
0303,1997/10/17,497,195,932.0,293.0,1738.0,557,200806200.0
0304,1997/10/20,399,210,386.0,292.0,610.0,1063,195549600.0
0305,1997/10/22,367,219,951.0,383.0,1361.0,608,186221400.0
0306,1997/10/24,748,268,900.0,292.0,1675.0,895,200510000.0
0307,1997/10/27,690,212,911.0,283.0,1616.0,613,197275400.0
0308,1997/10/29,519,328,1156.0,500.0,1723.0,1161,188736000.0
0309,1997/10/31,777,1397,,,,973,189664800.0
0310,1997/11/03,575,205,355.0,225.0,527.0,495,161474800.0
0311,1997/11/05,104,388,1050.0,507.0,1450.0,537,183204400.0
0312,1997/11/07,068,176,798.0,273.0,1448.0,775,190862800.0
0313,1997/11/10,069,269,835.0,240.0,1305.0,579,190715000.0
0314,1997/11/12,242,286,581.0,331.0,913.0,855,183834400.0
0315,1997/11/14,137,312,1510.0,461.0,2261.0,933,185185200.0
0316,1997/11/17,218,379,1390.0,525.0,2142.0,995,178203800.0
0317,1997/11/19,190,270,1154.0,309.0,2117.0,569,167495600.0
0318,1997/11/21,537,242,1607.0,350.0,2250.0,599,173078600.0
0319,1997/11/24,395,137,978.0,254.0,1711.0,391,151585000.0
0320,1997/11/26,598,165,546.0,234.0,1104.0,500,167409200.0
0321,1997/11/28,429,427,1230.0,646.0,2126.0,1103,191423200.0
0322,1997/12/01,064,196,968.0,257.0,1621.0,761,187364800.0
0323,1997/12/03,375,431,1700.0,447.0,2175.0,577,176811600.0
0324,1997/12/05,805,217,971.0,313.0,1625.0,765,182565400.0
0325,1997/12/08,531,396,1982.0,467.0,2647.0,710,184674800.0
0326,1997/12/10,930,300,1170.0,393.0,2024.0,497,178210200.0
0327,1997/12/12,980,207,845.0,287.0,1679.0,487,186770600.0
0328,1997/12/15,736,210,1116.0,291.0,1600.0,961,198682800.0
0329,1997/12/17,543,150,810.0,180.0,1418.0,748,184624800.0
0330,1997/12/19,179,265,1287.0,372.0,2165.0,746,200556800.0
0331,1997/12/22,196,241,1063.0,330.0,1913.0,613,203813000.0
0332,1997/12/24,167,299,1037.0,474.0,1628.0,828,192399800.0
0333,1997/12/26,238,363,1744.0,665.0,2843.0,1053,209161800.0
0334,1997/12/29,480,223,1067.0,307.0,1900.0,684,212725000.0
0335,1998/01/05,950,261,1361.0,459.0,2509.0,757,200584400.0
0336,1998/01/07,551,309,473.0,300.0,690.0,728,186876400.0
0337,1998/01/09,632,294,1506.0,346.0,2568.0,696,186451800.0
0338,1998/01/12,704,294,1190.0,462.0,1904.0,646,198661800.0
0339,1998/01/14,152,240,1997.0,311.0,3081.0,686,189316000.0
0340,1998/01/16,992,168,283.0,252.0,568.0,524,178599200.0
0341,1998/01/19,259,418,2409.0,786.0,4149.0,774,197954800.0
0342,1998/01/21,686,157,212.0,204.0,453.0,670,182924600.0
0343,1998/01/23,997,189,283.0,235.0,434.0,596,193476600.0
0344,1998/01/26,035,341,1377.0,427.0,2361.0,1287,210604400.0
0345,1998/01/28,513,393,1935.0,521.0,2687.0,1088,185388200.0
0346,1998/01/30,000,767,,,,1091,196920200.0
0347,1998/02/02,718,289,984.0,398.0,1554.0,900,199719000.0
0348,1998/02/04,394,217,831.0,329.0,1616.0,677,184491200.0
0349,1998/02/06,431,198,1122.0,259.0,1997.0,770,192472600.0
0350,1998/02/09,638,280,1398.0,427.0,2287.0,907,194783400.0
0351,1998/02/11,417,397,1625.0,609.0,2415.0,807,165343200.0
0352,1998/02/13,038,256,998.0,361.0,2066.0,745,186609600.0
0353,1998/02/16,996,247,237.0,240.0,518.0,599,190660600.0
0354,1998/02/18,750,243,856.0,323.0,1582.0,544,173356800.0
0355,1998/02/20,487,167,668.0,245.0,1219.0,611,184213400.0
0356,1998/02/23,852,302,1949.0,437.0,3389.0,813,188622200.0
0357,1998/02/25,756,157,661.0,203.0,1126.0,722,170254400.0
0358,1998/02/27,469,290,1112.0,469.0,1869.0,994,193182000.0
0359,1998/03/02,277,259,405.0,264.0,633.0,738,195980600.0
0360,1998/03/04,965,192,1030.0,250.0,1771.0,697,188675000.0
0361,1998/03/06,965,197,965.0,222.0,1585.0,565,193194400.0
0362,1998/03/09,640,205,853.0,263.0,1408.0,729,204872200.0
0363,1998/03/11,458,296,1141.0,553.0,1778.0,1037,192591800.0
0364,1998/03/13,908,235,994.0,322.0,1931.0,642,199340000.0
0365,1998/03/16,887,220,241.0,241.0,515.0,626,208840200.0
0366,1998/03/18,841,209,1148.0,337.0,2100.0,814,189545600.0
0367,1998/03/20,778,382,278.0,305.0,428.0,1123,187149000.0
0368,1998/03/23,805,213,890.0,338.0,1508.0,556,194217200.0
0369,1998/03/25,135,480,2294.0,616.0,3504.0,1083,189583000.0
0370,1998/03/27,091,173,1107.0,291.0,2120.0,698,192682600.0
0371,1998/03/30,798,190,1158.0,297.0,1919.0,797,199807600.0
0372,1998/04/01,202,252,363.0,280.0,583.0,479,182894800.0
0373,1998/04/03,417,479,1573.0,659.0,2534.0,959,189873600.0
0374,1998/04/06,409,311,983.0,425.0,1537.0,616,185168600.0
0375,1998/04/08,994,331,299.0,362.0,494.0,545,173568800.0
0376,1998/04/10,274,219,1148.0,290.0,2084.0,620,175792000.0
0377,1998/04/13,155,238,480.0,224.0,749.0,998,179039800.0
0378,1998/04/15,075,223,1055.0,292.0,1928.0,632,168302200.0
0379,1998/04/17,649,230,855.0,306.0,1544.0,1065,179118800.0
0380,1998/04/20,820,328,972.0,425.0,1551.0,1223,183851000.0
0381,1998/04/22,885,231,269.0,304.0,458.0,633,165314600.0
0382,1998/04/24,606,260,314.0,274.0,449.0,589,176004000.0
0383,1998/04/27,081,146,910.0,209.0,1722.0,548,183281400.0
